ID,Log
HARO_1_1,응' 지금은 꽤 괜찮아. 뭐든 할 수 있을 것 같아… 아마도.
HARO_1_2,몸이 가벼워. 이 기세로 끝까지 갈 수 있을지도 몰라.
HARO_1_3,이런 느낌… 나쁘지 않아. 오랜만이야.
HARO_1_4,아직은 실수하지 않을 것 같아.
HARO_1_5,흐음… 조금 더 해보자. 지금이라면 잘할 수 있을지도.
HARO_2_1,조금 피곤하지만' 아직은 버틸 수 있어.
HARO_2_2,숨이… 약간 차지만' 멈출 정도는 아니야.
HARO_2_3,괜찮아… 이 정도는 예상했는걸.
HARO_2_4,…조금만 더 집중하자. 실수하지 않게.
HARO_2_5,아직… 아직 괜찮아. 겁먹지 마' 하로.
HARO_3_1,계속해도 괜찮을까… 실수하지 않으려면 조심해야 해…
HARO_3_2,숨이… 조금씩 거칠어져… 실수가 늘어날지도 몰라.
HARO_3_3,몸이 점점 무거워져… 하지만 아직은 멈출 수 없어.
HARO_3_4,어깨가 아파... 근데 여기서 멈추면 후회할 거 같아
HARO_3_5,불안한 느낌… 더는 실수하면 안 돼…
HARO_4_1,힘이 안 들어가… 실수할지도 몰라… 쉬는 게 낫지 않을까…?
HARO_4_2,무리하고 있는 거… 아닐까… 자꾸 발이 흔들려…
HARO_4_3,제발… 한 발 한 발 조심해서…
HARO_4_4,눈앞이… 아찔해… 어지러워
HARO_4_5,이제 정말 위험해… 정신만은 붙잡고 있어야 해…
HARO_5_1,미안해… 더는… 안 될 것 같아… 나… 쓰러질지도…
HARO_5_2,다리가… 말을 안 들어… 멈춰야 해… 지금이라도…
HARO_5_3,앞이 안 보여… 무서워… 누가… 도와줬으면…
HARO_5_4,심장이… 너무 빨리 뛰어… 멈춰야 하는데… 멈출 수가 없어…
HARO_5_5,제발… 조금만… 조금만 더… 아니' 이젠 진짜… 안 돼…